ts;mw
01.01.2020 00:15;473,95
01.01.2020 00:30;470,51
01.01.2020 00:45;473,15
01.01.2020 01:00;469,39
01.01.2020 01:15;469,17
01.01.2020 01:30;471,07
01.01.2020 01:45;470,74
01.01.2020 02:00;467,05
01.01.2020 02:15;471,02
01.01.2020 02:30;467,60
01.01.2020 02:45;465,83
01.01.2020 03:00;468,53
01.01.2020 03:15;469,81
01.01.2020 03:30;466,34
01.01.2020 03:45;468,26
01.01.2020 04:00;468,26
01.01.2020 04:15;468,90
01.01.2020 04:30;466,73
01.01.2020 04:45;467,59
01.01.2020 05:00;468,88
01.01.2020 05:15;470,65
01.01.2020 05:30;469,44
01.01.2020 05:45;471,45
01.01.2020 06:00;471,23
01.01.2020 06:15;477,88
01.01.2020 06:30;476,95
01.01.2020 06:45;479,16
01.01.2020 07:00;480,43
01.01.2020 07:15;485,70
01.01.2020 07:30;485,34
01.01.2020 07:45;487,21
01.01.2020 08:00;485,86
01.01.2020 08:15;492,22
01.01.2020 08:30;488,74
01.01.2020 08:45;486,69
01.01.2020 09:00;485,64
01.01.2020 09:15;485,34
01.01.2020 09:30;484,56
01.01.2020 09:45;483,90
01.01.2020 10:00;482,38
01.01.2020 10:15;488,22
01.01.2020 10:30;485,24
01.01.2020 10:45;484,84
01.01.2020 11:00;483,24
01.01.2020 11:15;483,80
01.01.2020 11:30;481,69
01.01.2020 11:45;478,96
01.01.2020 12:00;479,60
01.01.2020 12:15;485,19
01.01.2020 12:30;479,95
01.01.2020 12:45;482,42
01.01.2020 13:00;481,70
01.01.2020 13:15;484,24
01.01.2020 13:30;480,69
01.01.2020 13:45;481,16
01.01.2020 14:00;480,59
01.01.2020 14:15;485,87
01.01.2020 14:30;482,85
01.01.2020 14:45;486,56
01.01.2020 15:00;482,37
01.01.2020 15:15;490,31
01.01.2020 15:30;482,95
01.01.2020 15:45;485,91
01.01.2020 16:00;485,22
01.01.2020 16:15;496,20
01.01.2020 16:30;495,57
01.01.2020 16:45;499,35
01.01.2020 17:00;498,49
01.01.2020 17:15;507,39
01.01.2020 17:30;509,00
01.01.2020 17:45;509,98
01.01.2020 18:00;503,47
